index,accuracy
ADJ,0.9615446329116821
N,0.961544394493103
PREP+ART,0.9615431427955627
PREP,0.9615446925163269
NPROP,0.9615446329116821
V,0.9615440964698792
ART,0.9615439176559448
PU,0.9615442752838135
PRO-KS,0.9615364670753479
PCP,0.961540937423706
PDEN,0.9615396857261658
KC,0.9615423679351807
PROPESS,0.9615391492843628
ADV,0.9615432620048523
PROADJ,0.9615405201911926
KS,0.9615380167961121
PROSUB,0.9615375399589539
NUM,0.9615378975868225
PREP+PROSUB,0.9615384340286255
ADV-KS,0.9615383744239807
PREP+PROADJ,0.961538553237915
PREP+PRO-KS,0.9615383744239807
PREP+ADV,0.9615384340286255
PREP+PROPESS,0.9615384340286255
IN,0.9615384340286255
CUR,0.961538553237915
